"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"CO6.6",0.16521574793205,0.169432999107317,0.130424265221471,0.195504726189602,0.0804673298390454,0.310187483833532,0.276628786605284,0.167915618908393,0.313118125215947,0.152422628083226,0.346175011169019,0.0967383230319985,0.0799666837734355,0.136496723280844,0.239090235074333,0.14051093098151,0.325525976899576,0.0472262815541027,0.0877961017231467,0.305171694464545
"CO6.7",0.125459181000249,0.144041732050224,0.101481582193292,0.164452328138488,0.0617031910900877,0.30110134097962,0.258153274232786,0.159968816567212,0.292692637068772,0.129732140933792,0.33872726691073,0.080152765075201,0.0757134342193468,0.130676495260394,0.192773936498951,0.110331352498468,0.29015049071314,0.0309292805430737,0.0724163530238968,0.267820418870779
"CO6.8",0.155254965556435,0.166806915284153,0.126643005093196,0.183489499941697,0.0784498550153621,0.304291831080383,0.287589158990883,0.167362264182193,0.3110132867823,0.143091614599866,0.340662600730095,0.0876267320632675,0.0775672374980256,0.133047441883573,0.22058308402063,0.142080613886549,0.313519376967292,0.0453845306928404,0.0827130005409443,0.29474416659115
"CO6.9",0.127751372447844,0.139913831604191,0.11082571998013,0.173071917757277,0.064046537260541,0.303935559290404,0.244772312488901,0.178595936958889,0.276045905813579,0.12739087279498,0.323193580255126,0.0834746478808273,0.0783245038193635,0.146026909633772,0.169022194317727,0.104978097816255,0.302755682158575,0.04685432541417,0.0870575322660179,0.266992128599087
"CO6.10",0.117554470313432,0.136588954933118,0.0882429194339533,0.146196312057932,0.0573787262960465,0.30943815087941,0.250136999936547,0.141325678175174,0.27496405697911,0.112408622756062,0.320434059045725,0.0706672945379878,0.0729419402531012,0.140050183840625,0.172269247681372,0.0900437324609694,0.266366462288093,0.0314332477963113,0.0690840929405029,0.244291147268729
"CO7.1",0.141178661145505,0.171370521951532,0.122332819891255,0.162527770486434,0.073618351051173,0.346402128905516,0.31616684228338,0.161520521959704,0.326295205818189,0.139930555234107,0.373702711377268,0.0977094321563849,0.104943689500522,0.145453631657001,0.186693294712421,0.114960063863076,0.3092618334458,0.0371817159948654,0.0815777382330421,0.286582414706069
"CO7.2",0.126476612177244,0.16156846546157,0.112917657899771,0.17712570034818,0.064703082861429,0.357557093855946,0.253937139573294,0.181862594125558,0.31876695213236,0.128815981549132,0.380389897614752,0.0833112120862997,0.0906506630377687,0.149802257464438,0.186030270491411,0.113886228038317,0.327463550652867,0.0451350903109008,0.0866762731756012,0.28106577788477
"CO7.3",0.165259656988092,0.171853815946759,0.119463746072052,0.185426628660011,0.0779426988831609,0.353164566359338,0.293809163490509,0.154076292004723,0.313471736400916,0.133165278244402,0.368138976774343,0.0877564764081666,0.0824254579984241,0.145225670089976,0.231951197131175,0.123916082468697,0.338072848259287,0.040849710139654,0.0941944121277783,0.297192018951223
"CO7.4",0.129379872895661,0.167001538322863,0.11099318491556,0.167897639770257,0.0691340595038482,0.333731290362767,0.311362425533092,0.157157682421275,0.303558171024163,0.144485829209748,0.346451195249941,0.0869036595629686,0.0848484650634298,0.143470779806779,0.230739056521353,0.120267404857219,0.308126545408115,0.0353537477936413,0.0758307130119678,0.284919197491428
"CO7.5",0.139648571303513,0.180567245025116,0.105790027557399,0.178171869130403,0.0585097925560281,0.338009698181096,0.254035783289085,0.156171857769282,0.297136281179862,0.127811830001183,0.365609769696263,0.0812579223307664,0.079500240888768,0.135232776452496,0.216064798638011,0.121484588223095,0.31847070394799,0.0418771167964273,0.0987825298436677,0.28915700414799
