"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"CO4.8",0.101076034052259,0.151603209343816,0.113815382465026,0.244942443745614,0.079092158406348,0.275429450913232,0.134533385928337,0.292292143453765,0.161195307975886,0.217944442468017,0.100459156716504,0.121434952263997,0.0883566153285718,0.091148334874309,0.147499401646204,0.309255152620465,0.121192828668094,0.25805136566651,0.035153656607068,0.0701818070318822
"CO4.9",0.113215969071973,0.158766735480345,0.115012781592859,0.242643163971214,0.0799937018822391,0.273867657116328,0.133197601484354,0.280972009418369,0.159767642414493,0.212978655534515,0.100520366654701,0.132376134103403,0.0851749241907435,0.0842171267245513,0.163390480971217,0.317813889042824,0.134084491296156,0.24484893754467,0.0367465286249293,0.0666194389899542
"CO4.10",0.155475686408359,0.141505665815843,0.123440849220062,0.23175181042817,0.0812029117298625,0.284139179063066,0.143129635455497,0.289016857371381,0.131918910302721,0.207026815847389,0.0936219015867232,0.142708457626707,0.0755707099594143,0.0986920821943796,0.193722709952927,0.251513951750552,0.13870093068971,0.243498940988304,0.0633133904166989,0.0877896374624335
"CO5.1",0.119823605577974,0.170013598313556,0.124326866905031,0.259937326002632,0.0642540722196339,0.256350900959089,0.146860382651696,0.28006934966575,0.145249555846698,0.27119884624544,0.0948558936610589,0.157654580842202,0.107220842992113,0.10759846545257,0.149061398183271,0.310227577427683,0.135217548314013,0.260672225936603,0.0390851356803689,0.0930470744410781
"CO5.2",0.123439636080703,0.137463614234773,0.097364160960917,0.240000328544152,0.064190086973669,0.255690953271686,0.128682987078926,0.277803799552849,0.136851775148578,0.239329435922758,0.0926171720987309,0.14106477745596,0.0883192454593327,0.123505336504396,0.164389707230967,0.281423780476938,0.118151295361539,0.267023156361962,0.0340299650833481,0.0791339765187471
"CO5.3",0.139873504565856,0.144049500490617,0.119693900406481,0.246149521779032,0.074365874603321,0.269435952068684,0.146911733809256,0.291276574448098,0.140622778642962,0.261284631135811,0.0992215669445879,0.151474196214359,0.0763452659690415,0.122975229781363,0.198322709880649,0.257688877575942,0.133816930695467,0.269882345781196,0.0497934764928347,0.0903131548242485
"CO5.4",0.179177698708819,0.14909195173548,0.134575936863771,0.268130637677712,0.0794285453726461,0.260632879730796,0.154600079927182,0.301381731626857,0.151653062732607,0.274782511759763,0.111469668275379,0.183592511689446,0.0991314317674483,0.123235371581197,0.214066711335505,0.281793198106078,0.156830431807438,0.265361060199251,0.0691100284896429,0.10102005866215
"CO5.5",0.151939335508884,0.164649526238576,0.123273166717257,0.283637210014467,0.0727683875900191,0.27089067567836,0.154511682631265,0.303282993202215,0.145885569146799,0.269343620446244,0.104317188727482,0.186640277903346,0.126548991097033,0.105582216115766,0.20677246603107,0.325449889385741,0.146246654954628,0.266332742388634,0.045699286457077,0.103453742392714
"CO5.6",0.113447399102271,0.159897667470929,0.116507204805319,0.250553758639311,0.0722772152434184,0.245431472168958,0.13910426388893,0.285490385759076,0.154005717815321,0.237854547803842,0.102005881287343,0.145038295219361,0.0961408864534646,0.10542704511595,0.154216272471619,0.271973668923582,0.131185915765087,0.259937185808498,0.035856986792826,0.0845992879812608
"CO5.7",0.189459040202792,0.167485289618133,0.151024120676015,0.296045507333871,0.0857470892273024,0.27993198285624,0.161339455497357,0.311644832941592,0.182482012168451,0.255541823601918,0.127576072719327,0.198713737463851,0.0984631086850981,0.11595742197357,0.250306013024954,0.314237188698595,0.179630629088357,0.304979259619211,0.0698830616690799,0.0976286594120829
"CO5.8",0.124179902074095,0.16401222504828,0.154023256840352,0.28997303737479,0.0787281285688968,0.236902570671015,0.192395521944495,0.324306936906978,0.174843385822364,0.26161237664917,0.113572548714331,0.161235224714605,0.0957494517657251,0.133169264251418,0.163625456732069,0.286343017312997,0.134846315858828,0.302751642782539,0.0695744280492139,0.0886341089829383
"CO5.9",0.17248666884501,0.152374913680951,0.134131684929488,0.270172463225488,0.0750478392425687,0.280429625250055,0.158243139421464,0.308883160012899,0.141178480985872,0.274256411951218,0.110913894779439,0.1761557466031,0.0925281066055275,0.122302166009685,0.223307880140711,0.2740362321245,0.152098703083083,0.2685481581515,0.0636203887553713,0.106738352803342
"CO5.10",0.157149337880765,0.145665576893784,0.111929769433981,0.252220596578745,0.0622681866189998,0.282350903600181,0.134101152684652,0.27453483227894,0.109615085139254,0.227126618344024,0.088706211638608,0.173288212372453,0.0963372451436997,0.102608203396266,0.159626900782826,0.255044073066253,0.124273537790264,0.246222764602773,0.0521335496306127,0.0986818181894621
"CO6.1",0.12084091945116,0.142973687021034,0.105509685620008,0.254441869781238,0.0652895807275393,0.243811257839512,0.145236602684983,0.272241437330755,0.155517013233061,0.25960129164271,0.0990530384683077,0.142044054204714,0.0899043580676275,0.132882695955222,0.149439690775619,0.272314855141471,0.118931195565896,0.28170611867012,0.0320524380238864,0.0817681703042369
"CO6.2",0.125906881990157,0.202955820213938,0.141111243835504,0.327353833057504,0.072619878730135,0.282265584532629,0.177578928331691,0.326745767489406,0.183266358327197,0.313615834836871,0.111529178094114,0.167433192635752,0.138430649132877,0.149563201897227,0.16130605178699,0.321499206235919,0.143588558852795,0.306699778273142,0.0482008484693423,0.102383787617024
"CO6.3",0.173941414011257,0.171493298317723,0.108637288012979,0.284567666638058,0.0588520956551602,0.271587109812122,0.148173333126018,0.28449228227005,0.110338618679485,0.282643435797814,0.105530440148637,0.194733015368184,0.118577100388159,0.123323474788874,0.189390286005401,0.274147738962694,0.128446828751931,0.274042826975127,0.0416701459708422,0.129826343334234
