"L","a","b"
90.5,-80,40
90.5,-80,60
90.5,-80,80
95.5,0,0
95.5,0,20
95.5,0,40
95.5,-20,0
95.5,-20,100
95.5,-20,120
95.5,-20,20
95.5,-20,40
95.5,-20,60
95.5,-20,80
95.5,-40,100
95.5,-40,20
95.5,-40,40
95.5,-40,60
95.5,-40,80
